table,col_types
"AddressDim","icccccc"
"AttributeDim" ,"icc"
"CancerStagingAttributeValueDim","iicicdcc"
"CancerStagingFact","iii"
"DateDim" ,"ic"
"DiagnosisDim","ic"
"DiagnosisEventFact","iiiiiic"
"DiagnosisSetDim","iic"
"DiagnosisTerminologyDim","iicci"
"DurationDim","ii"
"EdVisitFact","iiiiccc"
"EncounterFact","iiiii"
"ExternalConceptMappingDim","cdiccccc"
"FlowsheetRowDim","icc"
"FlowsheetValueFact","iiiicdi"
"HospitalAdmissionFact","iiiiiccc"
"ImagingFact","iiciiidT"
"LabComponentDim","iicc"
"LabComponentResultFact","iiiicdcciiiiiiii"
"LabComponentResultTextFact","ic"
"LabComponentResultParaproteinDetail","iicciccicciccicc"
"LabTestFact","iiicciiidi"
"LdaFlowsheetUclhMappingFactX","iic"
"LdaUclhFactX","iiiicicc"
"MedicationAdministrationComponentFactX","iiiiiccciiiicccii"
"MedicationCodeMappingDimX","iic"
"MedicationDim","i"
"MedicationOrderFact","iiiiiiiiiciciciiccii"
"OPT_OUT_Patient_Number","c"
"PatientCareRegistrationFact","iii"
"PatientDim","iicccciciccci"
"ParaproteinMappingExpectations","ccccccccc"
"PlaceOfServiceDim","icccc"
"ProcedureDim","iciccc"
"ResusStatusUclhFactX","iccii"
"SocialFactorsFactX","iiciciciccicic"
"SurgicalCaseFact","cccc"
"TimeOfDayDim","ic"
"Deprivation","ccccd"
"MedicationOrderAllUclhFactX","iiiiiiiicdcdciccciccicd"
"BloodPressureFactX","iiiiicccii"
