LabComponentKey,LabComponentEpicId,CommonName,Name
1,1511112,,"Glucose Blood, POC"
2,1511112,,"Glucose Blood, POC"
3,8835,,"COVID-19 RESULT"
4,1511112,,"Glucose Blood, POC"
23235,30401499,,"BGSOURCE"
1000,3040104,,"PARAPROTEIN"
1001,3040257,,"IMMUNOFIXATION"
193,193,,"AB SCREEN"
5284,5284,,"RHK"
8972,3040088,,"HAEMOGLOBIN A"
8973,3040089,,"HbA2"
8974,3040090,,"HAEMOGLOBIN F"
8975,3040091,,"HAEMOGLOBIN S"
8976,3040092,,"HAEMOGLOBIN C"
8977,3040093,,"HAEMOGLOBIN D"
8978,3040094,,"HAEMOGLOBIN E"
8979,3040095,,"HAEMOGLOBIN S plus C"
8980,3040096,,"HAEMOGLOBIN S plus D"
20971,5280,,"DAT (VISION) ANTI-IGG"
20972,5281,,"DAT (VISION) ANTI-C3D"
